;Country;Population;longitude;latitude;N;Frequency_of_digestors;Reference
134;Italy;Sardinia;12,56738;41,87194;383;0,1;Schirru, 07. Decline
135;Italy;Sardinia;12,56738;41,87194;97;0,12;Piepoli, 07. Genotyping
136;Italy;Sardinia ;12,56738;41,87194;120;0,217;Obinu, 10. Prevalence
138;Italy;Sicily;12,56738;41,87194;141;0,62;Carroccio, 1998. Lactose
140;Italy;Southern;12,56738;41,87194;189;0,15;Anagnostou, 09. Tracing
141;Italy;Southern populations;12,56738;41,87194;51;0,588;Cavalli-Sforza, 1987. Primary
142;Italy;Southern Italy;12,56738;41,87194;100;0,11;Enattah, 2007. Evidence
495;ITALY;Italians;9,2;45,47;42;0,38;Bozzani, A., et al. (1986) Dig.Dis.Sci. 31, 1313.
496;ITALY;Italians;9,2;45,47;89;0,48;Cavalli-Sforza et al. (1987) Am J Clin Nutr 45, 748
497;ITALY;Italians;12,48;41,9;65;0,82;Cavalli-Sforza et al. (1987) Am J Clin Nutr 45, 748
499;ITALY;Italians;14,25;40,83;44;0,23;Rossi et al., (1997), Gastroenterology. 112(5), 1506.
500;ITALY;Italians;9,2;45,47;20;0,25;Zuccato, E., et al. (1983) Eur J Clin Invest 13, 261.
501;ITALY;Napolitans;14,25;40,83;99;0,46;Rinaldi, E., et al. (1984) Lancet 1, 355-7.
502;ITALY;Neapolitan;14,25;40,83;9;0;De Ritis,  F., et al. (1970) Enzymol.Biol Clin.(Basel) 11, 263.
503;ITALY;Northern Italians;7,67;45,05;208;0,49;Burgio, G. R., et al. (1984) Am.J.Clin.Nutr. 39, 100.
